Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584874.267,150898.9,,,,,,,,,,13w04_20160126,
6584874.267,150898.9,116,16.4,203,18.9,380,0,,105,Pre_10C,13w04_20160208,7.6
6584874.267,150898.9,,,,,,,,,,13w04_20160215,
6584874.267,150898.9,,,,,,,,,,13w04_20160222,
6584874.267,150898.9,115,16.8,209,19.1,280,0,,102,Pre_10C,13w04_20160229,7.2
6584874.267,150898.9,111,16.9,207,18.5,270,0,355,106,Pre_10C,13w04_20160501,8.9
6584874.267,150898.9,107,16.4,187,17.6,480,0,312,93.9,Pre_13C,13w04_20160629,10.3
6584874.267,150898.9,113,16.5,211,18.7,290,0,329,124,Pre_13C,13w04_20160906,12
6584874.267,150898.9,104,15.9,227,18.6,250,0,368,76.4,Post_10C,13w04_20161207,9.9
6584874.267,150898.9,112,16.8,213,18.3,320,0,343,95.9,Post_10C,13w04_20170207,7.7
6584874.267,150898.9,111,16.5,224,18.1,270,0,379,84.9,Post_10C,13w04_20170322,8.9
6584874.267,150898.9,120,17.6,218,18.5,280,0,345,97.1,Post_10C,13w04_20170523,8.7
6584874.267,150898.9,120,17.6,218,18.5,280,0,345,97.1,Post_13C,13w04_20170905,11.3
6584874.267,150898.9,70.9,11.3,184,17.4,230,0,224,47.7,Post_10C,13w04_20180110,9
6584874.267,150898.9,122,18.5,251,19.7,320,0,474,141,Post_10C,13w04_20180308,7.8
