Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584462.024,150622.81,101,12.9,46,13.7,280,,,50.8,Pre_10C,13w03_20160126,8.1
6584462.024,150622.81,103,12.8,47,13.7,300,,,66.2,Pre_10C,13w03_20160208,8.2
6584462.024,150622.81,98.9,12.7,46.3,13.7,300,,,59.5,Pre_7C,13w03_20160215,7
6584462.024,150622.81,103,12.8,45.8,13.8,270,,,51,Pre_10C,13w03_20160222,7.8
6584462.024,150622.81,100,12.7,45.6,13.6,290,,,55.6,Pre_10C,13w03_20160229,7.9
6584462.024,150622.81,15.4,7.26,47.8,15.4,290,0,78.2,58.9,Pre_13C,13w03_20160501,10.4
6584462.024,150622.81,90.6,11.8,43.9,12.7,210,0,67,56.6,Pre_13C,13w03_20160629,10.5
6584462.024,150622.81,88.8,11.2,43.1,12,270,0,60.6,53.4,Pre_13C,13w03_20160906,11
6584462.024,150622.81,99.5,12.2,42.7,12.3,290,0,62.2,50.5,Post_10C,13w03_20161207,9.7
6584462.024,150622.81,103,13.2,48.8,13.5,290,0,72.8,52.1,Post_10C,13w03_20170207,9.4
6584462.024,150622.81,98.1,12.6,49.4,13.1,290,0,88.5,114,Post_10C,13w03_20170322,9.7
6584462.024,150622.81,103,13.1,50.3,13.5,290,0,81.4,57.4,Post_10C,13w03_20170523,10
6584462.024,150622.81,125,15,58.4,14.9,310,0,60.7,118,Post_13C,13w03_20170905,10.5
6584462.024,150622.81,111,15.2,54.8,15.7,310,0,71.8,54.8,Post_10C,13w03_20180110,9.6
6584462.024,150622.81,105,14.5,55.4,15.1,310,0,106,69.1,Post_10C,13w03_20180308,9.3
