Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BK02R_20160126,
,,,,,,,,,,,BK02R_20160208,
,,,,,,,,,,,BK02R_20160215,
,,,,,,,,,,,BK02R_20160222,
,,,,,,,,,,,BK02R_20160229,
,,,,,,,,,,,BK02R_20160501,
,,,,,,,,,,,BK02R_20160629,
,,,,,,,,,,,BK02R_20160906,
,,,,,,,,,,,BK02R_20161207,
,,,,,,,,,,,BK02R_20170207,
,,103,15.5,75.9,17.4,290,0,92.7,103,Post_7C,BK02R_20170322,6.4
,,111,14.5,68.2,16.5,320,0,87.5,117,Post_10C,BK02R_20170523,7.4
,,111,14.5,68.2,16.5,320,0,87.5,117,Post_10C,BK02R_20170905,10
,,,,,,,,,,,BK02R_20180110,
,,,,,,,,,,,BK02R_20180308,
