Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV02R_20160126,
,,,,,,,,,,,BV02R_20160208,
,,,,,,,,,,,BV02R_20160215,
,,,,,,,,,,,BV02R_20160222,
,,,,,,,,,,,BV02R_20160229,
,,,,,,,,,,,BV02R_20160501,
,,,,,,,,,,,BV02R_20160629,
,,,,,,,,,,,BV02R_20160906,
,,,,,,,,,,,BV02R_20161207,
,,104,14,70.7,16.6,1800,0,98.7,119,Post_10C,BV02R_20170207,8.9
,,105,13.9,72,16.4,290,0,89.3,107,Post_10C,BV02R_20170322,10.1
,,113,14.8,60.9,16.6,300,0,77.8,119,Post_13C,BV02R_20170523,11.7
,,113,14.8,60.9,16.6,300,0,77.8,119,Post_16C,BV02R_20170905,16.1
,,,,,,,,,,,BV02R_20180110,
,,114,16,72.5,17.8,320,0,103,132,Post_13C,BV02R_20180308,10.5
