Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584511.145,150842.9718,150,19.6,51.3,16.2,350,0,,148,Pre_10C,15w005_20160126,8.3
6584511.145,150842.9718,149,19.4,53.3,16.2,340,0,,172,Pre_10C,15w005_20160208,8.9
6584511.145,150842.9718,146,19.7,52.6,16.7,370,0,,146,Pre_10C,15w005_20160215,8.4
6584511.145,150842.9718,148,19.4,52.2,16.4,330,0,,133,Pre_10C,15w005_20160222,9.1
6584511.145,150842.9718,144,19.2,52.6,16.2,360,0,,144,Pre_10C,15w005_20160229,8.6
6584511.145,150842.9718,160,22.1,68.2,18.4,390,0,121,161,Pre_13C,15w005_20160501,10.4
6584511.145,150842.9718,153,20.2,65.3,17.2,400,0,107,159,Pre_13C,15w005_20160629,11.2
6584511.145,150842.9718,154,20.1,67.4,16.9,400,0,103,144,Pre_13C,15w005_20160906,12
6584511.145,150842.9718,145,18.9,55.5,15.9,370,0,77.9,126,Post_13C,15w005_20161207,10.5
6584511.145,150842.9718,148,20.1,60.4,16.8,390,0,80.2,138,Post_13C,15w005_20170207,10.2
6584511.145,150842.9718,130,17.9,73.4,16.5,360,0,86.6,123,Post_13C,15w005_20170322,10.6
6584511.145,150842.9718,126,16.9,85.5,17.1,320,0,82.1,118,Post_13C,15w005_20170523,10.4
6584511.145,150842.9718,119,15.8,85.5,17.1,310,0,110,115,Post_13C,15w005_20170905,11.3
6584511.145,150842.9718,136,18.8,62.7,17.9,310,0,88.4,111,Post_10C,15w005_20180110,9.8
6584511.145,150842.9718,120,16.9,59.4,16.4,330,0,85.6,124,Post_10C,15w005_20180308,9.5
