Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV01R_20160126,
,,,,,,,,,,,BV01R_20160208,
,,,,,,,,,,,BV01R_20160215,
,,,,,,,,,,,BV01R_20160222,
,,,,,,,,,,,BV01R_20160229,
,,,,,,,,,,,BV01R_20160501,
,,,,,,,,,,,BV01R_20160629,
,,,,,,,,,,,BV01R_20160906,
,,,,,,,,,,,BV01R_20161207,
,,50.7,14.1,67.2,17.7,150,0,98.3,84,Post_10C,BV01R_20170207,9
,,83.4,14.1,69.7,16.4,310,0,88.5,114,Post_10C,BV01R_20170322,9.9
,,110,15.2,62.4,16.7,300,0,77,118,Post_16C,BV01R_20170523,13.7
,,110,15.2,62.4,16.7,300,0,77,118,Post_16C,BV01R_20170905,15.5
,,,,,,,,,,,BV01R_20180110,
,,108,13.8,46.1,15.5,290,0,59.3,129,Post_10C,BV01R_20180308,9.9
