Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV01K_20160126,
,,,,,,,,,,,BV01K_20160208,
,,,,,,,,,,,BV01K_20160215,
,,,,,,,,,,,BV01K_20160222,
,,,,,,,,,,,BV01K_20160229,
,,,,,,,,,,,BV01K_20160501,
,,,,,,,,,,,BV01K_20160629,
,,,,,,,,,,,BV01K_20160906,
,,,,,,,,,,,BV01K_20161207,
,,107,14.2,71.3,16.5,1700,0,97.5,120,Post_10C,BV01K_20170207,9
,,,,,,,,,,,BV01K_20170322,
,,,,,,,,,,,BV01K_20170523,
,,,,,,,,,,,BV01K_20170905,
,,,,,,,,,,,BV01K_20180110,
,,,,,,,,,,,BV01K_20180308,
