Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584362.798,150870.492,149,23.3,71.4,17.9,440,0,,132,Pre_7C,13w02_20160126,6.8
6584362.798,150870.492,,,,,,,,,,13w02_20160208,
6584362.798,150870.492,,,,,,,,,,13w02_20160215,
6584362.798,150870.492,,,,,,,,,,13w02_20160222,
6584362.798,150870.492,146,23,72,17.6,440,0,,123,Pre_7C,13w02_20160229,7
6584362.798,150870.492,143,23.8,74.1,17.6,450,0,90.1,124,Pre_13C,13w02_20160501,12.5
6584362.798,150870.492,137,22.2,66.7,15.4,270,0,81.1,123,Pre_13C,13w02_20160629,13.1
6584362.798,150870.492,130,23.2,67,15.3,480,0,70.8,99.7,Pre_13C,13w02_20160906,13
6584362.798,150870.492,130,20.7,68.2,15.3,420,0,79.7,110,Post_13C,13w02_20161207,13.1
6584362.798,150870.492,130,20.9,69.7,16.2,420,0,83.8,111,Post_13C,13w02_20170207,13.1
6584362.798,150870.492,133,21.5,72.6,16,420,0,72.2,97.3,Post_13C,13w02_20170322,13
6584362.798,150870.492,152,23.9,66.8,15.7,490,0,70.2,114,Post_13C,13w02_20170523,12.8
6584362.798,150870.492,152,23.9,66.8,15.7,490,0,70.2,114,Post_13C,13w02_20170905,12.6
6584362.798,150870.492,,,,,,,,,,13w02_20180110,
6584362.798,150870.492,,,,,,,,,,13w02_20180308,
