Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584625.42,150700.506,136,15.9,69.8,15.6,330,0,,115,Pre_10C,15w002_20160126,7.8
6584625.42,150700.506,132,15.4,72.4,15.5,350,0,,122,Pre_10C,15w002_20160208,8.5
6584625.42,150700.506,130,15.6,72.1,15.7,350,0,,128,Pre_7C,15w002_20160215,7
6584625.42,150700.506,133,15.7,71.7,15.7,320,0,,116,Pre_10C,15w002_20160222,8.9
6584625.42,150700.506,132,15.7,69.6,15.6,340,0,,119,Pre_10C,15w002_20160229,8.9
6584625.42,150700.506,128,15.6,72.3,15.3,350,0,105,134,Pre_13C,15w002_20160501,10.1
6584625.42,150700.506,123,15,67.4,14.6,340,0,91.6,122,Pre_13C,15w002_20160629,11.2
6584625.42,150700.506,127,14.7,68.4,14.2,340,0,91.1,129,Pre_10C,15w002_20160906,10
6584625.42,150700.506,124,14.4,64,13.8,320,0,84.3,108,Post_10C,15w002_20161207,9.9
6584625.42,150700.506,,,,,,,,,,15w002_20170207,
6584625.42,150700.506,116,13.8,58.3,13.5,310,0,68.2,110,Post_13C,15w002_20170322,10.2
6584625.42,150700.506,118,14,57.3,13.7,310,0,64.2,115,Post_13C,15w002_20170523,10.6
6584625.42,150700.506,110,14,55.8,15.3,280,0,84.6,59.6,Post_13C,15w002_20170905,10.1
6584625.42,150700.506,112,13.9,48.7,14,270,0,41.5,110,Post_10C,15w002_20180110,10
6584625.42,150700.506,52,12.6,48.5,13.4,280,0,65.1,125,Post_10C,15w002_20180308,9.8
