Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV02K_20160126,
,,,,,,,,,,,BV02K_20160208,
,,,,,,,,,,,BV02K_20160215,
,,,,,,,,,,,BV02K_20160222,
,,,,,,,,,,,BV02K_20160229,
,,,,,,,,,,,BV02K_20160501,
,,,,,,,,,,,BV02K_20160629,
,,,,,,,,,,,BV02K_20160906,
,,,,,,,,,,,BV02K_20161207,
,,112,15.1,70.5,17.5,300,0,93.8,117,Post_10C,BV02K_20170207,8.9
,,,,,,,,,,,BV02K_20170322,
,,,,,,,,,,,BV02K_20170523,
,,,,,,,,,,,BV02K_20170905,
,,,,,,,,,,,BV02K_20180110,
,,,,,,,,,,,BV02K_20180308,
